datetime,open,high,low,close,volume,adj_close,ticker,_is_daily,is_spike
2025-01-02 00:00:00,101000.0,102300.0,100500.0,101600.0,712616.0,94915.7890625,000270,True,
2025-01-03 00:00:00,101500.0,101800.0,99200.0,100700.0,1015616.0,94075.0,000270,True,
2025-01-06 00:00:00,100800.0,101300.0,99200.0,100500.0,784082.0,93888.15625,000270,True,
2025-01-07 00:00:00,100500.0,101500.0,99100.0,99100.0,1128286.0,92580.265625,000270,True,
2025-01-08 00:00:00,99000.0,101400.0,98900.0,101000.0,1058728.0,94355.265625,000270,True,
2025-01-09 00:00:00,101200.0,105700.0,101200.0,103300.0,2359171.0,96503.9453125,000270,True,
2025-01-10 00:00:00,104000.0,106600.0,103500.0,105600.0,1951844.0,98652.6328125,000270,True,
2025-01-13 00:00:00,104700.0,105400.0,103600.0,105400.0,1130422.0,98465.7890625,000270,True,
2025-01-14 00:00:00,104700.0,107900.0,104200.0,106700.0,1300498.0,99680.265625,000270,True,
2025-01-15 00:00:00,106500.0,107200.0,102700.0,103300.0,1177799.0,96503.9453125,000270,True,
2025-01-16 00:00:00,104500.0,104800.0,103000.0,103400.0,654359.0,96597.3671875,000270,True,
2025-01-17 00:00:00,102400.0,103000.0,100400.0,101500.0,919480.0,94822.3671875,000270,True,
2025-01-20 00:00:00,101500.0,102000.0,100800.0,101000.0,411505.0,94355.265625,000270,True,
2025-01-21 00:00:00,102100.0,105300.0,100700.0,101000.0,1033495.0,94355.265625,000270,True,
2025-01-22 00:00:00,101900.0,103400.0,100700.0,103000.0,856499.0,96223.6875,000270,True,
2025-01-23 00:00:00,102500.0,104000.0,101100.0,102700.0,730474.0,95943.421875,000270,True,
2025-01-24 00:00:00,104400.0,104400.0,101000.0,101700.0,1296839.0,95009.2109375,000270,True,
2025-01-31 00:00:00,100800.0,102800.0,100200.0,102000.0,909716.0,95289.4765625,000270,True,
2025-02-03 00:00:00,100200.0,100700.0,95000.0,96100.0,2040413.0,89777.6328125,000270,True,
2025-02-04 00:00:00,99100.0,99200.0,96300.0,96700.0,1255891.0,90338.15625,000270,True,
2025-02-05 00:00:00,97400.0,99300.0,97000.0,98100.0,923434.0,91646.0546875,000270,True,
2025-02-06 00:00:00,98300.0,98800.0,97200.0,98800.0,563800.0,92300.0,000270,True,
2025-02-07 00:00:00,97600.0,98900.0,96300.0,96500.0,991140.0,90151.3203125,000270,True,
2025-02-10 00:00:00,94000.0,95100.0,93000.0,94600.0,1722666.0,88376.3203125,000270,True,
2025-02-11 00:00:00,93200.0,95100.0,93200.0,93800.0,1172529.0,87628.9453125,000270,True,
2025-02-12 00:00:00,93300.0,94100.0,91400.0,91700.0,1688145.0,85667.109375,000270,True,
2025-02-13 00:00:00,93800.0,95600.0,93300.0,94300.0,2326740.0,88096.0546875,000270,True,
2025-02-14 00:00:00,94400.0,95900.0,93700.0,95000.0,1349332.0,88750.0,000270,True,
2025-02-17 00:00:00,94300.0,94900.0,93100.0,94300.0,1049521.0,88096.0546875,000270,True,
2025-02-18 00:00:00,94300.0,95300.0,93700.0,93900.0,883917.0,87722.3671875,000270,True,
2025-02-19 00:00:00,92800.0,95800.0,92800.0,95000.0,1053531.0,88750.0,000270,True,
2025-02-20 00:00:00,94100.0,94800.0,93500.0,94500.0,1078110.0,88282.8984375,000270,True,
2025-02-21 00:00:00,95800.0,96700.0,94300.0,94600.0,960186.0,88376.3203125,000270,True,
2025-02-24 00:00:00,93700.0,94900.0,93600.0,94900.0,659841.0,88656.578125,000270,True,
2025-02-25 00:00:00,94000.0,94300.0,93200.0,93200.0,1001392.0,87068.421875,000270,True,
2025-02-26 00:00:00,93200.0,94200.0,93100.0,94100.0,789301.0,87909.2109375,000270,True,
2025-02-27 00:00:00,93700.0,94700.0,93600.0,94600.0,841391.0,88376.3203125,000270,True,
2025-02-28 00:00:00,93500.0,94400.0,93000.0,93200.0,1640049.0,87068.421875,000270,True,
2025-03-04 00:00:00,93100.0,96300.0,91900.0,93300.0,1312252.0,87161.84375,000270,True,
2025-03-05 00:00:00,94600.0,96600.0,94400.0,95900.0,1593290.0,89590.7890625,000270,True,
